nome,regione,descrizione,logo
Bandai,Giappone,Storica azienda giapponese di giocattoli e model kit fondata nel 1950.,
Creators Collection Figure,Giappone,Linea Banpresto che affida la scultura ad artisti selezionati per interpretazioni originali dei personaggi.,
Figuarts ZERO,Giappone,Linea Bandai Spirits dedicata alle statue in posa fissa con forte impatto scenico.,
Funko,Stati Uniti,Azienda statunitense nota per le figure in vinile della linea Pop!.,
Hello! Big Smile,Giappone,Linea di figure chibi di Good Smile Company con collo snodabile e design essenziale.,
Hot Toys,Hong Kong,Azienda specializzata in figure da collezione in scala 1/6 tratte dal cinema.,
Mejirushi Accessories,Giappone,Linea Bandai di portachiavi e accessori a sorpresa distribuiti in capsula.,
Nendoroid,Giappone,Linea Good Smile Company con figure deformed da 10 cm e parti intercambiabili.,
Pop Up Parade,Giappone,Linea Good Smile Company con figure in scala fissa da 17-18 cm a prezzo contenuto.,
S.H. Figuarts,Giappone,Linea di action figure snodabili in scala 1/12 di Bandai Spirits sotto il marchio Tamashii Nations.,
