nome,serie,azienda,dataUscita,altezza,materiale,prezzo,edizioneLimitata,cartellaImmagini,descrizione
S.H. Figuarts Spider-Man,Spider-Man,S.H. Figuarts,2026-03-14,15.5,PVC,49,no,SHFiguarts_Spider_Man_Snodabile,"Spider-Man snodabile con possibilità di usare 4 paia di mani intercambiabili, testa intercambiabile, ragnatela per oscillare, ragnatela difensiva, adattatori per effetti senso di ragno"
S.H. Figuarts Yuji Itadori,Jujutsu Kaisen,S.H. Figuarts,2026-03-14,15.0,PVC,40,no,SHFiguarts_Yuji_Itadori_Mani_Capelli_Scambiabili,"Yuji Itadori di Jujutsu Kaisen snodabile con 4 paia di mani intercambiabili, 4 differenti espressioni stile di capelli scambiabile e parti opzionali"
Hello! Big Smile Hatsune Miku Aurora Version,Hatsune Miku,Hello! Big Smile,2026-02-27,28.0,PVC,113,si,HelloBigSmile_Hatsune_Miku_Aurora_Ver,Hatsune Miku formato chibi versione aurora con la testa leggermente inclinabile. Tiratura limitata.
Hello! Big Smile Hatsune Miku,Hatsune Miku,Hello! Big Smile,2026-02-08,28.0,PVC,97,no,HelloBigSmile_Hatsune_Miku,Hatsune Miku collo movibile chibi big smile
S.H. Figuarts Yoshi,Super Mario Brothers,S.H. Figuarts,2026-03-14,11.0,PVC,32,no,SHFiguarts_Yoshi,"Yoshi (verde) della serie di super mario con la possibilità di essere cavalcato da mario e/o luigi. Mano destra intercambiabile, uovo di yoshi, lingua e occhi intercambiabili, guscio per essere cavalcato da Mario e guscio per essere cavalcato da Luigi, piedistallo dedicato"
S.H. Figuarts Bowser,Super Mario Brothers,S.H. Figuarts,2026-03-14,13.0,PVC,38,no,SHFiguarts_Bowser,"Bowser della serie super mario brothers snodabile con parti di mani intercambiabili, 2 parti mandibolari inferiori scambili e piedistallo dedicato. Possibilità di poter far sparare fiamma dalla bocca"
Pop Up Parade Lucyna Kushinada,Cyberpunk Edge Runners,Pop Up Parade,2025-09-25,22.5,PVC,53,no,PopUpParade_Lucyna_Kushinada,Action Figure rappresentante il personaggio Lucyna Kushinada di Cyberpunk Edge Runners
Figuarts ZERO Son Goku (Super Sayan),Dragon Ball,Figuarts ZERO,2026-03-14,22.0,PVC,54,no,FiguartsZERO_Son_Goku_Super_Sayan,"Goku trasformato in Super Sayan negli abiti classici che si lancia in avanti. Legato ad una tavoletta dove sono scolpiti Re Piccolo,Freezer nella quarta trasformazione e Cell perfetto."
S.H. Figuarts Ryu,Street Fighter,S.H. Figuarts,2024-02-17,15.0,PVC,43,no,SHFiguarts_Ryu,"Ryu in outfit classico con colorazione tratta dal videogioco street fighter 6. 3 differenti espressioni facciali, 1 paio di braccia intercambiabili, effetto fisivo della tecnica Hadoken e sfondo personalizzato"
S.H. Figuarts Chun-Li,Street Fighter,S.H. Figuarts,2024-02-17,14.5,PVC,43,no,SHFiguarts_Chun_Li,"Chun-Li in  outfit classico con colorazione tratta dal videogioco street fighter 6. 3 differenti espressioni facciali, 3 paia di mani intercambiabili, effetto visivo della tecnica Hyakuretsu Kyaku ( Hundred Lighting Kicks) e sfondo personalizzato"
Nendoroid Artoria Pendragon (Saber),Fate: Stay Night,Nendoroid,2025-11-29,10.0,PVC,81,no,Nendoroid_Artoria_Pendragon_Saber,Action Figure rappresentante Saber della Saga Fate: Stay Night in formato Nendoroid Large
Nendoroid Marin Kitagawa,My Dress-Up-Darling,Nendoroid,2023-03-01,10.0,PVC,35,no,Nendoroid_Marin_Kitagawa,"Dall'anime televisivo ""That Dress-Up Doll Is Falling in Love"", la ragazza amante del cosplay ""Kitagawa Kaiyume"" è ora un Nendoroid! Sono disponibili tre tipi di espressioni facciali sostitutive: ""smile"", ""wink face"" e ""big shunki too long face"". Le parti opzionali includono ""Nuru Woman2"" e ""Specchio di stampa Leopard"", i personaggi del ketchup ""Sorry"" sono impressionanti ""Sea Dream Special Omelet Rice"" e ""Hugging Pillow"" di Shizukutan, in modo da poter godere della riproduzione della scena nella commedia e varie pose che sono come un sogno marino. Si prega di accogliere il simpatico piccolo ""Nendoroid Kitagawa Kaimu"" con tutti i mezzi ♪"
Pop! Heisenberg (1934),Breaking Bad,Funko,2026-11-01,10.9,PVC,13,no,FunkoPop_Heisenberg,"POP! Heisenberg is here with his special bag of blue. When it comes to chemistry no one knows or does it better. When it comes to business, no one can cross him without severe consequences. Is the Breaking Bad lineup of your POP! Television collection ready for the head honcho to step on the scene? Vinyl figure is approximately 4.3 in (10.9 cm) tall."
Pop! Jaxon Smith-Njigba (316),NFL,Funko,2025-08-01,10.2,PVC,13,no,FunkoPop_Jaxon_Smith_Njigba,"Draft POP! Jaxon Smith-Njigba, wide receiver for the Seattle Seahawks, to your NFL collection in his blue and grey throwback uniform! Which team will POP! Jaxon Smith-Njigba and the Seahawks play next in your football lineup? Vinyl figure is approximately 4 in (10.2 cm) tall."
Figuarts ZERO Kaido Of The Beasts,One Piece,Figuarts ZERO,2021-12-01,32.2,RESINA,435,no,FiguartsZERO_Kaido_Of_The_Beasts,"Kaido delle 100 Bestie tratto da One Piece entra nella line-up Bandai Figuarts Zero Extra-Battle, alto 32cm."
