titolo,serie,scrittore,disegnatori,editore,anno,isbn,prezzo,genere,variant,cartellaImmagini
L'Attacco dei Giganti vol. 1,L'Attacco dei Giganti,Hajime Isayama,Hajime Isayama,Panini Comics,2012,9788899000011,5.20,Shonen,no,AttaccoGiganti_vol1
L'Attacco dei Giganti vol. 2,L'Attacco dei Giganti,Hajime Isayama,Hajime Isayama,Panini Comics,2012,9788899000028,5.20,Shonen,no,AttaccoGiganti_vol2
L'Attacco dei Giganti vol. 3,L'Attacco dei Giganti,Hajime Isayama,Hajime Isayama,Panini Comics,2012,9788899000035,5.20,Shonen,no,AttaccoGiganti_vol3
Jujutsu Kaisen vol. 1,Jujutsu Kaisen,Gege Akutami,Gege Akutami,Panini Comics,2020,9788899000042,4.90,Shonen,no,JujutsuKaisen_vol1
Jujutsu Kaisen vol. 2,Jujutsu Kaisen,Gege Akutami,Gege Akutami,Panini Comics,2020,9788899000059,4.90,Shonen,no,JujutsuKaisen_vol2
Jujutsu Kaisen vol. 3,Jujutsu Kaisen,Gege Akutami,Gege Akutami,Panini Comics,2021,9788899000066,4.90,Shonen,no,JujutsuKaisen_vol3
Topolino n. 1,Topolino,Guido Martina,Angelo Bioletto,Mondadori,1949,9788899000073,3.50,Umoristico,no,Topolino_vol1
Topolino n. 2,Topolino,Guido Martina,Angelo Bioletto,Mondadori,1949,9788899000080,3.50,Umoristico,no,Topolino_vol2
Topolino n. 3,Topolino,Guido Martina,Angelo Bioletto,Mondadori,1949,9788899000097,3.50,Umoristico,no,Topolino_vol3
One Piece vol. 1,One Piece,Eiichiro Oda,Eiichiro Oda,Star Comics,2001,9788899000103,4.30,Shonen,no,OnePiece_vol1
One Piece vol. 2,One Piece,Eiichiro Oda,Eiichiro Oda,Star Comics,2001,9788899000110,4.30,Shonen,no,OnePiece_vol2
Spider-Man vol. 1,Spider-Man,Stan Lee,Steve Ditko,Marvel Comics,1963,9788899000127,12.00,Supereroi,no,SpiderMan_vol1
Spider-Man vol. 2,Spider-Man,Stan Lee,Steve Ditko,Marvel Comics,1963,9788899000134,12.00,Supereroi,no,SpiderMan_vol2
My Dress-Up-Darling vol. 1,My Dress-Up-Darling,Shinichi Fukuda,Shinichi Fukuda,J-Pop,2022,9788899000141,6.50,Seinen,no,MyDressUpDarling_vol1
