nome,tipo,descrizione,logo,personaggi
Spider-Man,FUMETTO,Le storie dell'Uomo Ragno pubblicate da Marvel Comics a partire dal 1962.,,Peter Parker|Miles Morales|Gwen Stacy|Venom
Jujutsu Kaisen,MANGA,Stregoni che combattono le maledizioni nate dalle emozioni negative degli esseri umani.,,Yuji Itadori|Megumi Fushiguro|Nobara Kugisaki|Satoru Gojo|Ryomen Sukuna
Hatsune Miku,VIDEOGIOCO,La cantante virtuale Vocaloid protagonista della serie di giochi ritmici Project DIVA.,,Hatsune Miku|Kagamine Rin|Kagamine Len|Megurine Luka
Super Mario Brothers,VIDEOGIOCO,La serie di platform Nintendo ambientata nel Regno dei Funghi.,,Mario|Luigi|Principessa Peach|Bowser|Yoshi
Cyberpunk Edge Runners,ANIME,Serie animata ambientata a Night City tratta dal videogioco Cyberpunk 2077.,,David Martinez|Lucy|Rebecca|Maine
Dragon Ball,MANGA,Le avventure di Goku e dei guerrieri Saiyan alla ricerca delle sfere del drago.,,Goku|Vegeta|Gohan|Piccolo|Freezer
Street Fighter,VIDEOGIOCO,Il picchiaduro Capcom che ha definito il genere dei giochi di combattimento.,,Ryu|Ken Masters|Chun-Li|Akuma
Fate: Stay Night,ANIME,Visual novel in cui sette maghi evocano eroi del passato per la Guerra del Sacro Graal.,,Saber|Shirou Emiya|Rin Tohsaka|Archer
My Dress-Up-Darling,MANGA,Un artigiano di bambole hina aiuta una compagna di classe a realizzare i suoi costumi cosplay.,,Marin Kitagawa|Wakana Gojo|Sajuna Inui
Breaking Bad,SERIE_TV,Un professore di chimica malato di cancro entra nel mercato della metanfetamina.,,Walter White|Jesse Pinkman|Saul Goodman|Gus Fring
NFL,SPORT,La lega professionistica di football americano fondata nel 1920.,,Patrick Mahomes|Travis Kelce|Josh Allen|Tom Brady
Matrix,FILM,Un programmatore scopre di vivere dentro una simulazione creata dalle macchine.,,Neo|Trinity|Morpheus|Agente Smith
Il Monologo Della Speziale,ANIME,Una giovane speziale risolve misteri all'interno del palazzo imperiale.,,Maomao|Jinshi|Consorte Gyokuyou
Ufo Robot,ANIME,Il robot Goldrake difende la Terra dagli attacchi dell'impero di Vega.,,Actarus|Alcor|Venusia|Re Vega
One Piece,MANGA,Le avventure della ciurma di Cappello di Paglia alla ricerca del One Piece.,,Monkey D. Rufy|Roronoa Zoro|Nami|Sanji
L'Attacco dei Giganti,MANGA,L'umanita' sopravvive dentro mura altissime assediata da creature che divorano gli esseri umani.,,Eren Jaeger|Mikasa Ackerman|Armin Arlert|Levi Ackerman
Topolino,FUMETTO,Il settimanale a fumetti Disney pubblicato in Italia dal 1949 in formato libretto.,,Topolino|Minni|Pippo|Paperino|Zio Paperone
Pokémon,VIDEOGIOCO,La saga Nintendo in cui gli allenatori catturano e allenano creature dai poteri elementali.,,Pikachu|Eevee|Charizard|Mewtwo
Detective Conan,MANGA,Un liceo detective rimpicciolito da un veleno continua a risolvere casi con l'aspetto di un bambino.,,Conan Edogawa|Ran Mouri|Kogoro Mouri|Ai Haibara
Tom And Jerry,SERIE_TV,La rivalita' senza fine tra un gatto e un topo nei corti animati della Metro-Goldwyn-Mayer.,,Tom|Jerry|Tuffy|Spike
Looney Tunes,SERIE_TV,I corti animati Warner Bros. con i personaggi piu' celebri dell'animazione americana.,,Bugs Bunny|Titti|Silvestro|Daffy Duck|Taz
Kirby,VIDEOGIOCO,La serie di platform Nintendo con la palla rosa capace di risucchiare i nemici e copiarne i poteri.,,Kirby|Re Dedede|Meta Knight|Waddle Dee
SpongeBob,SERIE_TV,Le vicende di una spugna di mare che vive in un ananas sul fondo dell'oceano.,,SpongeBob|Patrick Stella|Squiddi Tentacolo|Mr. Krabs|Sandy Cheeks
